State,Date,Avg Value,Avg Rank,Avg Mean,Avg Anomaly,Min Value,Min Rank,Min Mean,Min Anomaly,Max Value,Max Rank,Max Mean (1901-2000),Max Anomaly (1901-2000)
Washington,201808,66,105,63.5,2.5,52.8,111,49.8,3,79.3,96,77.2,2.1
West Virginia,201808,72.5,103,70.4,2.1,62.7,117,59.1,3.6,82.2,73,81.6,0.6
Wisconsin,201808,68.6,105,66.4,2.2,57.9,110,54.7,3.2,79.2,79,78.1,1.1
Wyoming,201808,63.5,59,63.4,0.1,48.1,58,48.1,0,79,67,78.7,0.3
Alabama,201807,80.8,90,79.9,0.9,71,117,68.8,2.2,90.7,59,91.1,-0.4
Arizona,201807,82.3,119,79.7,2.6,68.4,120,65.6,2.8,96.2,110,93.8,2.4
Arkansas,201807,81.7,98,80.3,1.4,71,110,68.9,2.1,92.5,87,91.7,0.8
California,201807,79.6,124,74.7,4.9,65.2,124,59.5,5.7,94.1,122,89.9,4.2
Colorado,201807,69.9,115,67.1,2.8,54.8,115,52.2,2.6,85.1,113,81.9,3.2
Connecticut,201807,73.6,112,70.7,2.9,62.9,114,59.8,3.1,84.2,107,81.5,2.7
Delaware,201807,77.2,98,75.5,1.7,67.6,104,65.4,2.2,86.8,88,85.6,1.2
Florida,201807,82.4,112,81,1.4,73.6,119,71.3,2.3,91.2,84,90.7,0.5
Georgia,201807,80,72,79.7,0.3,70.3,109,68.7,1.6,89.6,36,90.7,-1.1
Idaho,201807,68.4,112,65.1,3.3,52,111,49.2,2.8,84.9,114,81.1,3.8
Illinois,201807,75.1,54,75.6,-0.5,64.7,78,64.1,0.6,85.4,39,87.1,-1.7
Indiana,201807,74.1,57,74.5,-0.4,63.5,85,62.8,0.7,84.8,48,86.1,-1.3
Iowa,201807,73.1,50,73.9,-0.8,62.4,68,62.2,0.2,83.8,41,85.5,-1.7
Kansas,201807,78.6,61,78.9,-0.3,66.2,72,65.9,0.3,91.1,60,91.8,-0.7
Kentucky,201807,76.7,78,76.3,0.4,66.1,92,64.8,1.3,87.3,59,87.7,-0.4
Louisiana,201807,83.4,111,81.9,1.5,73.7,118,71.8,1.9,93,93,91.9,1.1
Maine,201807,68.8,120,65.3,3.5,57.4,116,54,3.4,80.3,119,76.6,3.7
Maryland,201807,76.2,90,75.1,1.1,66.2,95,64.6,1.6,86.2,76,85.6,0.6
Massachusetts,201807,73.2,117,69.7,3.5,62.2,119,58.7,3.5,84.2,117,80.7,3.5
Michigan,201807,70.5,106,68.1,2.4,58.5,108,55.9,2.6,82.5,103,80.3,2.2
Minnesota,201807,69.6,79,68.8,0.8,58.8,99,56.9,1.9,80.4,60,80.7,-0.3
Mississippi,201807,81.7,90,80.8,0.9,71.5,112,69.8,1.7,91.9,66,91.9,0
Missouri,201807,78.2,80,77.7,0.5,66.8,83,66.1,0.7,89.6,77,89.2,0.4
Montana,201807,66.9,78,65.7,1.2,51.5,77,50.8,0.7,82.3,83,80.6,1.7
Nebraska,201807,73.4,40,74.5,-1.1,61.7,77,60.9,0.8,85.2,26,88.1,-2.9
Nevada,201807,77,123,72.1,4.9,61.1,124,55.9,5.2,92.9,120,88.3,4.6
New Hampshire,201807,69.9,119,66.5,3.4,57.5,113,54.5,3,82.3,121,78.5,3.8
New Jersey,201807,76.1,110,73.5,2.6,65.5,108,62.8,2.7,86.6,108,84.1,2.5
New Mexico,201807,75.2,117,72.7,2.5,60.8,122,58.1,2.7,89.6,107,87.2,2.4
New York,201807,71.2,114,68.2,3,59.6,108,57,2.6,82.7,116,79.4,3.3
North Carolina,201807,77.3,74,76.9,0.4,67.4,92,66.4,1,87.2,58,87.4,-0.2
North Dakota,201807,69.3,65,69,0.3,56.5,75,55.7,0.8,82.1,58,82.3,-0.2
Ohio,201807,73.8,88,73,0.8,63,96,61.3,1.7,84.5,68,84.6,-0.1
Oklahoma,201807,82.8,84,81.7,1.1,70.4,83,69.5,0.9,95.2,82,93.9,1.3
